,,,,,,,,,,,,,
ตลาดส่งออก 15 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,,
"สินค้าเกษตรกรรม (กสิกรรม,ปศุสัตว์,ประมง)                                                                                ",,,,,,,,,,,,,
,,,,,,,,,,,,,
ประเทศ,มูลค่า : ล้านบาท(2562),มูลค่า : ล้านบาท(2563),มูลค่า : ล้านบาท(2564),อัตราขยายตัว (%)(2562),อัตราขยายตัว (%)(2563),อัตราขยายตัว (%)(2564),สัดส่วน (%)(2562),สัดส่วน (%)(2563),สัดส่วน (%)(2564),,,,
 China,"189,845.95","212,487.84","342,806.89",2.86,11.93,61.33,28.12,32.38,41.81,,,,
Japan,"98,456.00","92,518.13","99,782.55",-3.96,-6.03,7.85,14.58,14.10,12.17,,,,
US,"47,243.19","46,705.25","49,910.64",1.63,-1.14,6.86,7.00,7.12,6.09,,,,
Malaysia,"30,876.30","31,384.40","41,268.81",-18.12,1.65,31.49,4.57,4.78,5.03,,,,
Hongkong,"21,380.96","25,650.60","20,709.47",6.36,19.97,-19.26,3.17,3.91,2.53,,,,
South-korea,"16,651.95","15,341.37","20,281.85",-5.80,-7.87,32.20,2.47,2.34,2.47,,,,
สหราชอาณาจักร,"22,965.72","19,754.99","18,283.32",-1.63,-13.98,-7.45,3.40,3.01,2.23,,,,
เวียดนาม,"32,173.14","22,883.83","16,990.43",-22.26,-28.87,-25.75,4.76,3.49,2.07,,,,
เนเธอร์แลนด์,"14,209.62","11,312.20","13,844.15",-12.17,-20.39,22.38,2.10,1.72,1.69,,,,
แอฟริกาใต้,"10,247.91","10,788.16","11,771.55",-12.93,5.27,9.12,1.52,1.64,1.44,,,,
ไต้หวัน,"10,059.21","9,968.16","11,648.57",-8.36,-0.91,16.86,1.49,1.52,1.42,,,,
เมียนม่า,"5,748.73","5,886.58","9,608.95",2.10,2.40,63.23,0.85,0.90,1.17,,,,
อินโดนีเซีย,"11,622.12","9,199.84","9,519.36",-49.64,-20.84,3.47,1.72,1.40,1.16,,,,
สิงคโปร์,"8,670.33","10,304.82","8,792.30",-1.68,18.85,-14.68,1.28,1.57,1.07,,,,
 อินเดีย,"5,580.49","4,297.06","8,604.19",-27.42,-23.00,100.23,0.83,0.65,1.05,,,,
รวม 15 รายการ,"525,731.63","528,483.22","683,823.01",-5.77,0.52,29.39,77.86,80.54,83.41,,,,
อื่น ๆ,"149,466.02","127,692.04","136,008.97",-19.86,-14.57,6.51,22.14,19.46,16.59,,,,
รวมทั้งสิ้น,"675,197.65","656,175.27","819,831.98",-9.30,-2.82,24.94,100,100,100,,,,
,,,,,,,,,,,,,
  ที่มา : ศูนย์เทคโนโลยีสารสนเทศและการสื่อสาร สำนักงานปลัดกระทรวงพาณิชย์ โดยความร่วมมือจากกรมศุลกากร,,,,,,,,,,,,,
